Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
50,Control,464.600000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,8.0W,,,,,
51,SafeFir,451.225000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,8.0W,,,,,
52,Weather,467.850000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,8.0W,,,,,
99,MRNPRN,454.000000,off,0.000000,TSQL,88.5,91.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
100,MRNPRN2,454.200000,off,0.000000,TSQL,88.5,74.4,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
101,CHASTAIN,463.237500,off,0.000000,DTCS,88.5,88.5,532,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
102,CINDRIC,464.187500,off,0.000000,DTCS,88.5,88.5,226,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
103,DILLON,469.012500,off,0.000000,DTCS,88.5,88.5,131,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
104,GRAGSON,468.650000,off,0.000000,DTCS,88.5,88.5,025,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
105,LARSON,465.862500,off,0.000000,DTCS,88.5,88.5,565,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
106,KESELOWS,466.275000,off,0.000000,DTCS,88.5,88.5,043,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
107,SUAREZ,469.587500,off,0.000000,TSQL,88.5,97.4,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
108,BUSCH,468.600000,off,0.000000,DTCS,88.5,88.5,315,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
109,ELLIOT,461.987500,off,0.000000,DTCS,88.5,88.5,143,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
